sample_id,core_sample_id,timepoint,species,tissue,mouse_id,dam_id,cohort,cohort_id,treatment,treatment_group,normal_or_tumor,sample_notes,cellranger_dir,pool_dir,cellranger_raw_h5_filename,cellranger_filtered_h5_filename,cellbender_h5_dir,cellbender_seurat_h5_dir,fpr_dir,cellbender_seurat_h5_filename,cellbender_h5_filename
28,11389-DA-28,18_months,Mouse,Mammary,A032a,A032,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-28_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-28_FPR_0.0.h5
29,11389-DA-29,18_months,Mouse,Mammary,A044b,A044,cohort 5,5,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-29_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-29_FPR_0.0.h5
30,11389-DA-30,18_months,Mouse,Mammary,A052a,A052,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-30_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-30_FPR_0.0.h5
31,11389-DA-31,18_months,Mouse,Mammary,A053c,A053,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-31_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-31_FPR_0.0.h5
32,11389-DA-32,18_months,Mouse,Mammary,Pb001d,Pb001,cohort 0,0,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-32_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-32_FPR_0.0.h5
33,11389-DA-33,10_weeks,Mouse,Mammary,A027b,A027,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-33_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-33_FPR_0.0.h5
34,11389-DA-34,10_weeks,Mouse,Mammary,A029a,A029,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-34_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-34_FPR_0.0.h5
35,11389-DA-35,10_weeks,Mouse,Mammary,A030a,A030,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-35_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-35_FPR_0.0.h5
36,11389-DA-36,10_weeks,Mouse,Mammary,A031h,A031,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-36_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-36_FPR_0.0.h5
37,11389-DA-37,10_weeks,Mouse,Mammary,A051a,A051,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-37_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-37_FPR_0.0.h5
38,11389-DA-38,10_weeks,Mouse,Mammary,A052b,A052,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-38_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-38_FPR_0.0.h5
39,11389-DA-39,10_weeks,Mouse,Mammary,A053d,A053,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-39_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-39_FPR_0.0.h5
